,Awards,Awards_Nominated,Awards_Won,BAFTA Film Award Awards_Nominated,Golden Globe Awards_Nominated,Golden Globe Awards_Won,Oscar Awards_Nominated,Oscar Awards_Won,Primetime Emmy Awards_Nominated,Primetime Emmy Awards_Won,Title,Year
12126,3 wins & 1 nomination.,1,3,0,0,0,0,0,0,0,Ties That Bind,2015–
12134,1 nomination.,1,0,0,0,0,0,0,0,0,Interview with a Free Man,2015
12155,1 nomination.,1,0,0,0,0,0,0,0,0,Harold and Lillian: A Hollywood Love Story,2015
12191,1 win & 7 nominations.,7,1,0,0,0,0,0,0,0,Rebellion,2016
12230,5 wins & 13 nominations.,13,5,0,0,0,0,0,0,0,Money,2016
12231,1 nomination.,1,0,0,0,0,0,0,0,0,American Lawmen,2016–
12264,1 nomination.,1,0,0,0,0,0,0,0,0,Jermaine,2015
12265,1 nomination.,1,0,0,0,0,0,0,0,0,Slash,2016
12272,1 win.,0,1,0,0,0,0,0,0,0,The Wild Life,2016
12285,3 wins & 2 nominations.,2,3,0,0,0,0,0,0,0,Fallout 4,2015
12288,1 nomination.,1,0,0,0,0,0,0,0,0,Bahama Blue,2015–
12292,1 nomination.,1,0,0,0,0,0,0,0,0,Father's Day,2016
12303,2 nominations.,2,0,0,0,0,0,0,0,0,Bangkok Nites,2016
12331,3 wins & 22 nominations.,22,3,0,0,0,0,0,0,0,Veteran,2015
12339,1 nomination.,1,0,0,0,0,0,0,0,0,Invisible; Inc.,2015
12359,1 win.,0,1,0,0,0,0,0,0,0,Operation: Neighborhood Watch!,2015
12400,1 nomination.,1,0,0,0,0,0,0,0,0,C'est Wow,2015–
12404,2 wins.,0,2,0,0,0,0,0,0,0,The Death of a Security Guard,2015
12431,1 nomination.,1,0,0,0,0,0,0,0,0,Bloedbroeders: Blood Brothers,2015
12436,1 nomination.,1,0,0,0,0,0,0,0,0,Chicken People,2016
12449,2 nominations.,2,0,0,0,0,0,0,0,0,Mother's Day,2016
12469,1 win.,0,1,0,0,0,0,0,0,0,Under Fire,2016
12492,1 win & 3 nominations.,3,1,0,0,0,0,0,0,0,Hasret: Sehnsucht,2015
12544,2 wins & 3 nominations.,3,2,0,0,0,0,0,0,0,The Queen of Ireland,2015
12551,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,The Intervention,2016
12552,1 nomination.,1,0,0,0,0,0,0,0,0,Judgement Day,2015
12576,4 nominations.,4,0,0,0,0,0,0,0,0,On Football,2015
